City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ostrovnoy,2,RU,1558378754,72,68.05,39.51,37.5,7.16
1,mahebourg,75,MU,1558378503,74,-20.41,57.7,78.8,11.41
2,qaanaaq,25,GL,1558378755,73,77.48,-69.36,22.2,2.37
3,zhuhai,0,CN,1558378755,39,40.71,112.04,44.6,4.47
4,cape town,20,ZA,1558378755,76,-33.93,18.42,55.99,8.05
5,atuona,78,PF,1558378755,76,-9.8,-139.03,81.96,16.49
6,flinders,0,AU,1558378755,62,-34.58,150.85,60.01,11.41
7,opuwo,0,NA,1558378523,23,-18.06,13.84,72.06,5.44
8,tiksi,95,RU,1558378756,88,71.64,128.87,14.1,15.7
9,pushkinskiye gory,6,RU,1558378756,70,57.02,28.91,65.04,6.93
10,aykhal,90,RU,1558378756,48,65.95,111.51,39.2,11.18
11,castro,0,CL,1558378756,70,-42.48,-73.76,48.2,9.17
12,avarua,100,CK,1558378756,94,-21.21,-159.78,71.6,2.24
13,saskylakh,0,RU,1558378757,91,71.97,114.09,4.92,2.26
14,constitucion,5,MX,1558378757,4,23.99,-104.67,84.2,16.11
15,albany,40,US,1558378727,45,42.65,-73.75,82.4,12.75
16,vilyuysk,16,RU,1558378757,59,63.75,121.63,34.62,5.84
17,ushuaia,75,AR,1558378606,75,-54.81,-68.31,44.6,36.91
18,bambous virieux,75,MU,1558378758,74,-20.34,57.76,78.8,11.41
19,kodinsk,14,RU,1558378758,81,58.6,99.18,48.84,4.97
20,teknaf,1,BD,1558378758,85,20.86,92.31,84.66,8.23
21,busselton,84,AU,1558378758,63,-33.64,115.35,55.0,12.86
22,ambon,11,FR,1558378758,93,47.55,-2.56,64.99,5.82
23,maragogi,97,BR,1558378610,69,-9.01,-35.22,83.94,9.42
24,fallon,90,US,1558378758,53,46.84,-105.12,51.8,18.34
25,kantang,20,TH,1558378759,94,7.42,99.52,78.8,6.93
26,colonelganj,0,IN,1558378759,14,27.13,81.7,94.2,5.08
27,punta arenas,40,CL,1558378759,61,-53.16,-70.91,50.0,46.08
28,rikitea,95,PF,1558378669,76,-23.12,-134.97,74.58,12.82
29,new norfolk,40,AU,1558378759,66,-42.78,147.06,57.99,5.82
30,gobabis,0,NA,1558378567,24,-22.45,18.97,68.0,2.24
31,qingdao,0,CN,1558378760,54,36.09,120.35,59.0,2.24
32,port hardy,90,CA,1558378564,87,50.7,-127.42,53.6,5.82
33,arman,0,RU,1558378760,64,59.7,150.17,31.56,5.3
34,mamakan,26,RU,1558378760,90,57.82,114.02,31.38,2.82
35,bethel,20,US,1558378760,71,60.79,-161.76,51.8,4.68
36,clinton,75,US,1558378556,54,41.84,-90.19,55.4,10.29
37,varhaug,0,NO,1558378761,63,58.61,5.65,64.99,8.05
38,ayan,76,TR,1558378761,58,40.67,33.6,56.94,0.54
39,mayor pablo lagerenza,43,PY,1558378761,33,-19.93,-60.77,91.86,14.9
40,hermanus,9,ZA,1558378761,74,-34.42,19.24,55.0,23.78
41,torbay,75,CA,1558378627,65,47.66,-52.73,48.0,24.16
42,yellowknife,75,CA,1558378762,26,62.45,-114.38,55.4,8.05
43,kruisfontein,92,ZA,1558378762,69,-34.0,24.73,55.68,16.53
44,puerto ayora,26,EC,1558378762,86,-0.74,-90.35,79.0,5.99
45,rosita,72,NI,1558378762,71,13.92,-84.4,84.12,4.41
46,beloha,100,MG,1558378762,85,-25.17,45.06,70.08,10.0
47,port elizabeth,20,US,1558378762,46,39.31,-74.98,93.0,12.75
48,port alfred,67,ZA,1558378763,69,-33.59,26.89,61.0,8.01
49,garchitorena,59,PH,1558378763,75,13.88,123.7,84.3,6.11
50,kodiak,1,US,1558378763,63,39.95,-94.76,53.01,8.05
51,mar del plata,5,AR,1558378763,33,-46.43,-67.52,50.1,18.52
52,taybad,78,IR,1558378763,18,34.74,60.78,80.16,4.88
53,cabo san lucas,5,MX,1558378605,34,22.89,-109.91,91.0,11.41
54,tiarei,20,PF,1558378764,70,-17.53,-149.33,84.2,10.29
55,khatanga,10,RU,1558378764,92,71.98,102.47,9.96,10.94
56,pisco,0,PE,1558378764,30,-13.71,-76.2,75.99,11.41
57,kolyvan,0,RU,1558378764,87,55.31,82.74,48.2,4.47
58,hofn,90,IS,1558378764,81,64.25,-15.21,48.2,6.93
59,bontang,54,ID,1558378765,99,0.12,117.47,74.22,2.62
60,sault sainte marie,1,CA,1558378765,61,46.49,-84.36,50.0,14.99
61,zhigansk,97,RU,1558378765,84,66.77,123.37,27.24,8.77
62,thompson,75,CA,1558378765,35,55.74,-97.86,57.2,3.36
63,pevek,93,RU,1558378765,71,69.7,170.27,26.16,4.65
64,nanortalik,29,GL,1558378766,72,60.14,-45.24,43.08,4.68
65,bilibino,93,RU,1558378766,89,68.06,166.44,27.6,6.29
66,dikson,12,RU,1558378766,85,73.51,80.55,20.22,12.15
67,hambantota,40,LK,1558378766,100,6.12,81.12,80.6,3.36
68,beja,20,PT,1558378766,49,38.02,-7.87,71.6,14.99
69,fortuna,20,ES,1558378767,77,38.18,-1.13,69.8,4.7
70,ponta do sol,0,BR,1558378767,57,-20.63,-46.0,73.68,5.32
71,qasigiannguit,90,GL,1558378767,86,68.82,-51.19,33.8,4.7
72,butaritari,55,KI,1558378767,77,3.07,172.79,83.94,9.13
73,virginia beach,40,US,1558378597,48,36.85,-75.98,91.0,10.29
74,hobyo,91,SO,1558378767,71,5.35,48.53,83.58,13.49
75,saint george,40,GR,1558378768,33,39.45,22.34,75.2,11.41
76,pontes e lacerda,41,BR,1558378768,41,-15.23,-59.33,88.44,3.71
77,khor,100,RU,1558378768,94,47.88,134.96,54.96,7.36
78,crotone,20,IT,1558378768,67,39.09,17.12,62.6,10.29
79,baglung,11,NP,1558378768,58,28.27,83.59,54.24,2.66
80,raglan,99,NZ,1558378769,53,-37.8,174.87,48.99,1.99
81,jamestown,84,AU,1558378769,52,-33.21,138.6,54.78,5.86
82,sur,66,OM,1558378769,57,22.57,59.53,88.26,14.83
83,araouane,77,ML,1558378769,18,18.9,-3.53,100.14,15.1
84,emerald,0,AU,1558378770,82,-23.53,148.16,60.8,6.93
85,launceston,40,AU,1558378770,93,-41.43,147.14,55.0,14.99
86,nikolskoye,20,RU,1558378770,56,59.7,30.79,69.01,4.47
87,ambilobe,2,MG,1558378770,92,-13.19,49.05,74.76,4.52
88,cidreira,0,BR,1558378770,66,-30.17,-50.22,76.56,5.5
89,ternate,20,PH,1558378770,74,14.29,120.72,86.0,1.12
90,tarauaca,48,BR,1558378771,47,-8.16,-70.77,90.06,1.43
91,bella vista,62,AR,1558378771,80,-28.51,-59.05,75.66,7.29
92,xichang,19,CN,1558378771,91,27.88,102.25,49.74,2.46
93,antioch,40,US,1558378507,63,38.0,-121.81,64.99,10.29
94,najran,75,SA,1558378772,77,17.54,44.22,69.8,11.41
95,agirish,100,RU,1558378772,88,61.92,63.02,32.82,9.1
96,mataura,58,NZ,1558378772,88,-46.19,168.86,48.0,1.99
97,katsuura,90,JP,1558378772,93,33.93,134.5,66.2,5.82
98,shalinskoye,66,RU,1558378772,63,55.72,93.76,53.7,7.83
99,barrow,100,AR,1558378772,59,-38.31,-60.23,59.64,13.38
100,sorong,95,ID,1558378773,93,-0.86,131.25,77.28,2.01
101,kingston,75,CA,1558378724,63,44.23,-76.48,70.0,19.46
102,ketchikan,1,US,1558378684,76,55.34,-131.65,55.4,17.22
103,kapaa,20,US,1558378773,74,22.08,-159.32,80.6,10.29
104,mbigou,70,GA,1558378773,94,-1.9,11.91,72.6,1.63
105,yakeshi,100,CN,1558378774,48,49.28,120.73,46.86,20.31
106,hilo,40,US,1558378755,69,19.71,-155.08,79.0,4.7
107,whitehorse,40,CA,1558378774,36,60.72,-135.06,64.0,3.36
108,bonthe,63,SL,1558378774,70,7.53,-12.5,85.38,9.78
109,bara,45,NG,1558378774,25,10.41,10.6,96.54,4.99
110,lompoc,75,US,1558378662,63,34.64,-120.46,66.99,12.75
111,port blair,99,IN,1558378774,71,11.67,92.75,85.2,7.18
112,bredasdorp,0,ZA,1558378775,62,-34.53,20.04,55.0,8.05
113,thinadhoo,100,MV,1558378775,76,0.53,72.93,85.02,17.0
114,koumac,0,NC,1558378775,68,-20.56,164.28,74.4,12.86
115,faanui,61,PF,1558378775,74,-16.48,-151.75,82.86,11.59
116,xam nua,100,LA,1558378775,98,20.42,104.04,67.38,2.17
117,east london,20,ZA,1558378775,72,-33.02,27.91,60.8,27.51
118,sao filipe,2,CV,1558378776,84,14.9,-24.5,72.96,16.91
119,deputatskiy,47,RU,1558378776,82,69.3,139.9,8.52,3.31
120,chuy,96,UY,1558378776,91,-33.69,-53.46,65.58,13.78
121,sitka,100,US,1558378776,98,37.17,-99.65,48.99,11.99
122,forio,75,IT,1558378777,77,40.73,13.86,62.6,6.93
123,russkaya polyana,100,RU,1558378777,80,53.78,73.88,45.24,6.76
124,san felipe,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
125,arraial do cabo,0,BR,1558378491,78,-22.97,-42.02,84.2,4.7
126,margate,40,AU,1558378778,66,-43.03,147.26,57.99,5.82
127,aklavik,75,CA,1558378563,50,68.22,-135.01,55.4,3.09
128,lokosovo,100,RU,1558378778,68,61.13,74.84,44.52,9.17
129,paita,0,PE,1558378778,290,-5.09,-81.11,62.6,17.22
130,cravo norte,100,CO,1558378778,67,6.3,-70.2,85.02,3.09
131,motygino,85,RU,1558378778,84,58.18,94.69,49.2,5.23
132,west wendover,40,US,1558378779,66,40.74,-114.07,51.8,4.7
133,adrar,40,DZ,1558378779,17,27.87,-0.29,89.6,28.86
134,melfi,20,IT,1558378779,87,41.0,15.66,59.0,10.29
135,kibaya,75,RW,1558378779,88,-2.2,30.56,66.2,3.36
136,iqaluit,90,CA,1558378780,86,63.75,-68.52,33.8,6.93
137,lavrentiya,31,RU,1558378780,95,65.58,-170.99,28.32,6.4
138,morondava,0,MG,1558378780,69,-20.3,44.28,79.08,9.06
139,vaini,0,IN,1558378780,88,15.34,74.49,78.9,1.59
140,georgetown,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
141,sanchazi,0,CN,1558378781,82,30.43,103.62,64.4,2.24
142,sarai mir,0,IN,1558378781,35,26.02,82.92,86.0,3.36
143,yichun,89,CN,1558378781,98,47.72,128.88,41.64,3.58
144,plainview,40,US,1558378590,37,34.18,-101.71,84.99,18.34
145,comodoro rivadavia,0,AR,1558378608,37,-45.87,-67.48,55.4,16.11
146,nardaran,40,AZ,1558378782,52,40.56,50.01,66.2,19.46
147,nagua,75,DO,1558378782,70,19.37,-69.85,89.6,6.93
148,ibra,100,OM,1558378782,41,22.69,58.55,87.18,17.4
149,ganzhou,1,CN,1558378783,66,25.86,114.93,64.32,3.42
150,talnakh,75,RU,1558378783,92,69.49,88.39,15.8,29.08
151,coahuayana,1,MX,1558378783,22,18.62,-100.35,100.5,4.38
152,sinnamary,100,GF,1558378783,81,5.38,-52.96,82.5,10.96
153,porto novo,20,BR,1558378783,53,-23.68,-45.44,77.0,4.7
154,havoysund,20,NO,1558378784,80,71.0,24.66,39.2,24.16
155,bjornevatn,75,NO,1558378688,93,69.67,29.98,37.4,20.8
156,narsaq,20,GL,1558378784,28,60.91,-46.05,57.2,9.17
157,charlestown,1,US,1558378784,64,41.38,-71.64,87.01,12.75
158,trat,93,TH,1558378784,70,12.25,102.51,91.0,1.88
159,manado,40,ID,1558378784,100,1.49,124.85,73.4,4.97
160,trapani,20,IT,1558378785,72,38.02,12.54,66.2,17.22
161,sao joao da barra,40,BR,1558378785,55,-21.64,-41.05,86.0,3.36
162,saint-philippe,75,CA,1558378785,53,45.36,-73.48,75.0,29.97
163,haines junction,11,CA,1558378785,48,60.75,-137.51,51.18,7.23
164,kathmandu,75,NP,1558378762,73,27.71,85.32,71.6,6.67
165,norman wells,75,CA,1558378785,45,65.28,-126.83,66.2,6.93
166,brainerd,1,US,1558378527,40,46.36,-94.2,63.0,5.82
167,yumen,2,CN,1558378785,10,40.29,97.04,59.1,1.5
168,straumen,0,NO,1558378786,52,63.87,11.3,68.0,9.17
169,camacha,40,PT,1558378786,72,33.08,-16.33,68.0,14.99
170,teya,75,MX,1558378786,39,21.05,-89.07,99.0,16.11
171,vitim,81,RU,1558378786,83,59.44,112.57,37.32,2.98
172,antsohihy,100,MG,1558378786,74,-14.88,47.99,80.7,5.35
173,kavieng,100,PG,1558378787,75,-2.57,150.8,82.86,3.76
174,la esperanza,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
175,clyde river,75,CA,1558378787,86,70.47,-68.59,28.4,12.75
176,nador,0,MA,1558378499,40,35.17,-2.93,75.2,6.93
177,keflavik,75,IS,1558378788,100,64.0,-22.56,51.01,9.17
178,faya,20,SA,1558378788,76,18.39,42.45,59.0,5.82
179,chokurdakh,0,RU,1558378788,89,70.62,147.9,7.08,5.99
180,le marin,75,MQ,1558378788,62,14.47,-60.87,87.8,19.46
181,tasiilaq,75,GL,1558378788,74,65.61,-37.64,35.6,12.75
182,udachnyy,90,RU,1558378789,48,66.42,112.4,39.2,11.18
183,monrovia,40,LR,1558378789,79,6.33,-10.8,84.2,9.17
184,burnie,76,AU,1558378789,87,-41.05,145.91,53.01,5.99
185,kaitangata,16,NZ,1558378789,67,-46.28,169.85,52.0,10.0
186,yamada,75,JP,1558378789,93,36.58,137.08,63.0,2.24
187,mackay,20,CA,1558378789,28,53.65,-115.58,59.0,20.8
188,lagoa,20,PT,1558378790,46,37.14,-8.45,73.4,18.34
189,bluff,1,AU,1558378790,89,-23.58,149.07,61.08,11.83
190,saint-georges,94,CA,1558378595,76,46.12,-70.67,71.01,8.99
191,naryan-mar,0,RU,1558378791,90,67.67,53.09,27.24,8.19
192,port hedland,0,AU,1558378791,51,-20.31,118.58,62.6,6.93
193,hithadhoo,100,MV,1558378650,75,-0.6,73.08,84.12,11.3
194,beringovskiy,58,RU,1558378791,90,63.05,179.32,27.42,6.2
195,codrington,90,AU,1558378791,93,-28.95,153.24,60.8,5.82
196,ilulissat,90,GL,1558378791,86,69.22,-51.1,33.8,4.7
197,coquimbo,75,CL,1558378792,59,-29.95,-71.34,64.4,5.82
198,grand baie,75,MU,1558378661,74,-20.02,57.58,78.8,11.41
199,kaabong,100,UG,1558378792,92,3.51,34.14,64.86,2.91
200,lazaro cardenas,75,MX,1558378792,14,28.39,-105.62,88.0,21.92
201,luanda,20,AO,1558378792,78,-8.83,13.24,78.8,6.93
202,rio gallegos,0,AR,1558378754,40,-51.62,-69.22,53.6,34.45
203,namatanai,100,PG,1558378793,88,-3.66,152.44,77.46,5.95
204,severo-kurilsk,99,RU,1558378793,97,50.68,156.12,39.66,15.1
205,hutang,4,CN,1558378793,71,29.22,119.85,59.1,3.31
206,namioka,75,JP,1558378793,52,40.71,140.59,68.0,11.41
207,mnogovershinnyy,100,RU,1558378793,96,53.94,139.92,39.12,8.05
208,san rafael del sur,40,NI,1558378793,49,11.85,-86.44,91.4,13.87
209,paamiut,7,GL,1558378794,91,61.99,-49.67,35.7,16.31
210,ribeira grande,40,PT,1558378794,88,38.52,-28.7,66.2,10.29
211,labuhan,18,ID,1558378794,86,-2.54,115.51,75.48,2.8
212,mount gambier,90,AU,1558378628,100,-37.83,140.78,53.6,8.05
213,pesca,96,CO,1558378794,68,5.56,-73.05,62.52,7.76
214,mount isa,0,AU,1558378794,56,-20.73,139.49,68.0,6.93
215,le port,25,FR,1558378795,64,42.87,1.37,60.01,4.47
216,hobart,40,AU,1558378795,66,-42.88,147.33,57.99,5.82
217,dublin,75,IE,1558378538,81,53.35,-6.26,57.99,5.82
218,salalah,20,OM,1558378796,74,17.01,54.1,86.0,10.29
219,beisfjord,0,NO,1558378796,51,68.38,17.6,60.8,11.41
220,ust-tsilma,0,RU,1558378796,58,65.44,52.15,35.88,6.11
221,marawi,12,PH,1558378796,93,8.0,124.29,77.0,5.01
222,samana,75,EC,1558378796,94,0.12,-76.97,77.0,4.7
223,koronowo,20,PL,1558378736,60,53.31,17.94,71.01,3.36
224,ekimchan,100,RU,1558378797,87,53.07,132.94,43.26,10.4
225,carnarvon,58,ZA,1558378797,65,-30.97,22.13,50.1,14.94
226,saint-denis,0,FR,1558378797,67,48.94,2.36,64.4,10.29
227,tabas,100,IR,1558378798,18,33.6,56.92,89.6,9.17
228,san pedro,100,AR,1558378735,69,-33.68,-59.66,63.0,7.0
229,aketi,100,CD,1558378804,96,2.74,23.78,72.6,1.03
230,moses lake,1,US,1558378804,22,47.13,-119.28,69.8,13.87
231,mocuba,1,MZ,1558378804,90,-16.84,36.99,65.76,2.42
232,hamilton,90,CA,1558378635,67,43.26,-79.87,59.0,14.99
233,san juan del sur,40,NI,1558378808,74,11.25,-85.87,84.2,10.2
234,katobu,17,ID,1558378814,93,-4.94,122.53,75.66,1.54
235,banjar,86,ID,1558378616,98,-7.37,108.54,73.86,1.14
236,provideniya,5,RU,1558378816,72,64.42,-173.23,33.72,5.23
237,andradas,20,BR,1558378535,56,-22.07,-46.57,79.0,6.93
238,bose,75,IT,1558378816,72,45.46,8.01,64.4,2.24
239,manzhouli,35,CN,1558378819,45,49.6,117.43,45.24,13.67
240,lockhart,75,AU,1558378821,76,-35.22,146.72,55.4,3.36
241,anadyr,75,RU,1558378821,74,64.73,177.51,30.2,6.71
242,bandarbeyla,67,SO,1558378822,74,9.49,50.81,82.68,13.38
243,buchach,75,UA,1558378822,100,49.06,25.39,70.0,2.24
244,pasni,0,PK,1558378823,52,25.26,63.48,86.82,9.17
245,tuktoyaktuk,40,CA,1558378823,75,69.44,-133.03,41.0,19.46
246,okha,100,RU,1558378823,96,53.59,142.95,40.38,13.62
247,puerto escondido,5,MX,1558378824,66,15.86,-97.07,86.0,9.17
248,ancud,0,CL,1558378825,70,-41.87,-73.83,48.2,9.17
249,lebu,75,ET,1558378826,68,8.96,38.73,64.4,2.95
250,port lincoln,100,AU,1558378826,76,-34.72,135.86,63.6,15.48
251,leningradskiy,0,RU,1558378827,80,69.38,178.42,22.2,6.38
252,kajaani,0,FI,1558378827,62,64.22,27.73,59.0,6.93
