,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tyup,42.7276,78.3648,29.64,88,73,1.77,KG,1612747877
1,Arraial do Cabo,-22.9661,-42.0278,72.36,81,100,7.61,BR,1612747356
2,Yellowknife,62.456,-114.3525,-34.01,67,40,8.05,CA,1612747077
3,Saint-Pierre,-21.3393,55.4781,80.6,61,90,6.91,RE,1612747381
4,Manama,26.2154,50.5832,64.4,77,0,4.61,BH,1612747816
5,Vestmannaeyjar,63.4427,-20.2734,38.91,75,100,25.3,IS,1612747402
6,Quatre Cocos,-20.2078,57.7625,79.0,83,40,5.75,MU,1612747376
7,Prince Rupert,54.3161,-130.3201,33.8,51,1,9.22,CA,1612747161
8,Bloemfontein,-29.1211,26.214,64.4,88,0,8.05,ZA,1612747878
9,Ballina,-28.8667,153.5667,80.6,61,40,19.57,AU,1612747835
10,Vaini,-21.2,-175.2,77.0,100,90,12.66,TO,1612747355
11,Dikson,73.5069,80.5464,-32.58,85,90,15.14,RU,1612747383
12,Albany,42.6001,-73.9662,26.01,54,79,5.01,US,1612747366
13,Hobart,-42.8794,147.3294,64.4,48,75,8.05,AU,1612747317
14,Chicama,-7.8447,-79.1469,73.17,68,100,6.17,PE,1612747878
15,Jamestown,42.097,-79.2353,12.99,72,90,10.36,US,1612747378
16,Nanortalik,60.1432,-45.2371,31.59,87,87,17.83,GL,1612747368
17,Haines Junction,60.7522,-137.5108,-16.6,69,0,1.14,CA,1612747357
18,Almaznyy,48.0448,40.045,15.8,73,0,6.71,RU,1612747879
19,La Paz,-16.5,-68.15,50.0,71,75,9.22,BO,1612747664
20,Katsuura,35.1333,140.3,46.0,36,6,11.99,JP,1612747352
21,Faanui,-16.4833,-151.75,81.79,75,2,12.3,PF,1612747377
22,Kavieng,-2.5744,150.7967,85.1,70,8,7.2,PG,1612747378
23,Qasigiannguit,68.8193,-51.1922,19.4,45,0,21.85,GL,1612747879
24,Butaritari,3.0707,172.7902,80.62,80,27,18.9,KI,1612747378
25,Ushuaia,-54.8,-68.3,51.8,82,75,9.22,AR,1612747879
26,Norman Wells,65.282,-126.8329,-31.0,75,20,5.75,CA,1612747376
27,Padang,-0.9492,100.3543,78.8,83,20,1.14,ID,1612747088
28,Makakilo City,21.3469,-158.0858,78.8,44,1,6.91,US,1612747388
